president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp,,
Donald Trump,All polls,7/3/2018,8/18/2017,8/22/2017,Ipsos,B+,2749,a,0.2248232,0,35.8,59.3,36.06972,57.98869,,T,http://polling.reuters.com/#poll/CP3_2/,50136,78794,8/25/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/17/2017,8/22/2017,Quinnipiac University,A-,1514,rv,1.775842,0,35,59,36.69376,57.54246,,,https://poll.qu.edu/images/polling/us/us08232017_Usgdv94.pdf/,50126,78778,8/23/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/18/2017,8/21/2017,Public Policy Polling,B,887,rv,1.125623,0,40,53,39.30305,53.4044,,,http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_82317.pdf,50124,78775,8/23/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/17/2017,8/22/2017,Harris Interactive,C+,2263,rv,1.33304,0,43,57,39.8496,56.17472,,,http://harvardharrispoll.com/wp-content/uploads/2017/08/HHP-August-Wave_Topline-Memo_Total-Only_Registered-Voters.pdf,50131,78785,8/25/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/19/2017,8/21/2017,Gallup,B,1500,a,0.1470236,0,35,60,36.10976,58.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,50116,78760,8/22/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/20/2017,8/22/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.1346041,0,41,57,35.76586,57.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,50121,78769,8/23/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/19/2017,8/23/2017,Ipsos,B+,2419,a,0.1997424,0,35.9,59.2,36.16972,57.88869,,T,http://polling.reuters.com/#poll/CP3_2/,50135,78793,8/25/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/20/2017,8/22/2017,YouGov,B,1500,a,0.7079564,0,39,51,39.82018,53.45123,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/6q36eat3uv/econTabReport.pdf,50123,78771,8/23/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/20/2017,8/22/2017,Gallup,B,1500,a,0.1470236,0,35,59,36.10976,57.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,50125,78777,8/23/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/18/2017,8/24/2017,SurveyMonkey,D-,9172,a,0.185109,0,39,59,36.84014,57.53904,,,https://drive.google.com/file/d/0BztOs71zt1WpSmI0UEpOQ2tBMDQ/view,50137,78795,8/25/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/21/2017,8/23/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.1351094,0,42,56,36.76586,56.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,50127,78779,8/24/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/20/2017,8/24/2017,Ipsos,B+,2086,a,0.1743335,0,35.5,59.6,35.76972,58.28869,,T,http://polling.reuters.com/#poll/CP3_2/,50134,78792,8/25/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/21/2017,8/23/2017,Gallup,B,1500,a,0.1470236,0,34,60,35.10976,58.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,50129,78783,8/24/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/22/2017,8/24/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.1353645,0,42,56,36.76586,56.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,50130,78784,8/25/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/21/2017,8/25/2017,Ipsos,B+,1918,a,0.1624962,0,35.4,59,35.66972,57.68869,,T,http://polling.reuters.com/#poll/CP3_2/,50148,78807,8/29/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/22/2017,8/24/2017,Gallup,B,1500,a,0.1470236,0,34,60,35.10976,58.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,50132,78786,8/25/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/22/2017,8/26/2017,Ipsos,B+,1596,a,0.1372488,0,36.1,58.4,36.36972,57.08869,,T,http://polling.reuters.com/#poll/CP3_2/,50147,78806,8/29/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/23/2017,8/25/2017,Gallup,B,1500,a,0.1470236,0,35,60,36.10976,58.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,50138,78797,8/26/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/23/2017,8/27/2017,Ipsos,B+,1261,a,0.1100751,0,36,58.3,36.26972,56.98869,,T,http://polling.reuters.com/#poll/CP3_2/,50146,78805,8/29/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/24/2017,8/26/2017,Gallup,B,1500,a,0.1470236,0,35,60,36.10976,58.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,50139,78798,8/27/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/23/2017,8/27/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.0812957,0,42,57,36.76586,57.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,50140,78799,8/28/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/25/2017,8/27/2017,Gallup,B,1500,a,0.1470236,0,35,60,36.10976,58.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,50141,78800,8/28/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/24/2017,8/28/2017,McLaughlin & Associates,C-,1000,lv,0.8543829,0,48,50,43.96852,51.88081,,,http://mclaughlinonline.com/2017/11/16/ma-national-survey-results-11-14-17/,50463,79631,11/16/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/24/2017,8/28/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.2425136,0,41,58,35.76586,58.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,50142,78801,8/29/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/24/2017,8/28/2017,Ipsos,B+,1795,a,0.158758,0,36.6,58,36.86972,56.68869,,T,http://polling.reuters.com/#poll/CP3_2/,50145,78804,8/29/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/24/2017,8/28/2017,Morning Consult,B-,1999,rv,0.7453059,0,40,55,36.57074,57.47749,,,https://morningconsult.com/wp-content/uploads/2017/08/170814_crosstabs_Politico_v1_TB-1.pdf,50150,78813,8/30/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/25/2017,8/29/2017,Ipsos,B+,1768,a,0.1583306,0,36.7,58.2,36.96972,56.88869,,T,http://polling.reuters.com/#poll/CP3_2/,50162,78828,9/1/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/26/2017,8/28/2017,Gallup,B,1500,a,0.1470236,0,35,60,36.10976,58.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,50144,78803,8/29/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/23/2017,8/31/2017,IBD/TIPP,A-,905,a,1.531144,0,38,57,40.0829,55.26029,,,http://www.investors.com/politics/trump-approval-rebounds-from-lows-after-charlottesville-harvey-confederate-statues-ibdtipp-poll/,50181,78858,9/7/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/24/2017,8/30/2017,icitizen,,2049,a,0.7010363,0,36,64,37.703,58.05598,,,https://projects.fivethirtyeight.com.s3.amazonaws.com/polls/2018_icitizen_national.pdf,50962,80603,2/28/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/24/2017,8/29/2017,SurveyMonkey,D-,10129,a,0.1803917,0,39,59,36.84014,57.53904,,,http://msnbcmedia.msn.com/i/TODAY/z_Creative/NBC%20News%20SurveyMonkey%20Poll%20Toplines%20and%20Methodology%208.24-8.29.pdf,50155,78821,8/31/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/26/2017,8/30/2017,Ipsos,B+,1667,a,0.1509378,0,37.6,58.4,37.86972,57.08869,,T,http://polling.reuters.com/#poll/CP3_2/,50161,78827,9/1/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/25/2017,8/31/2017,SurveyMonkey,D-,12032,a,0.2131234,0,40,59,37.84014,57.53904,,,https://drive.google.com/file/d/0BztOs71zt1WpWUp3TW9WcF9YSEU/view,50163,78832,9/1/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/27/2017,8/29/2017,YouGov,B,1500,a,0.808823,0,38,53,38.82018,55.45123,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/bk136ee11c/econTabReport.pdf,50151,78814,8/30/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/27/2017,8/29/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.1346041,0,41,58,35.76586,58.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,50149,78812,8/30/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/27/2017,8/29/2017,Fox News,A,1006,rv,1.798717,0,41,55,39.37115,55.9257,,,http://www.foxnews.com/politics/interactive/2017/08/30/fox-news-poll-results-830.html,50153,78819,8/30/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/27/2017,8/29/2017,Gallup,B,1500,a,0.1470236,0,35,59,36.10976,57.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,50152,78817,8/30/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/28/2017,8/30/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.1351094,0,41,58,35.76586,58.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,50156,78822,8/31/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/28/2017,8/30/2017,Gallup,B,1500,a,0.1470236,0,34,60,35.10976,58.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,50157,78823,8/31/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/27/2017,8/31/2017,Ipsos,B+,2060,a,0.1881094,0,38.1,57.8,38.36972,56.48869,,T,http://polling.reuters.com/#poll/CP3_2/,50160,78826,9/1/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/29/2017,8/31/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.1353645,0,42,56,36.76586,56.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,50158,78824,9/1/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/28/2017,9/1/2017,Ipsos,B+,2383,a,0.2191478,0,37.9,58,38.16972,56.68869,,T,http://polling.reuters.com/#poll/CP3_2/,50174,78844,9/5/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/29/2017,8/31/2017,Gallup,B,1500,a,0.1470236,0,34,61,35.10976,59.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,50159,78825,9/1/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/30/2017,9/1/2017,Gallup,B,1500,a,0.1470236,0,34,61,35.10976,59.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,50164,78834,9/2/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/29/2017,9/2/2017,Ipsos,B+,1832,a,0.1697651,0,37.6,58.6,37.86972,57.28869,,T,http://polling.reuters.com/#poll/CP3_2/,50173,78843,9/5/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/31/2017,9/2/2017,Gallup,B,1500,a,0.1470236,0,36,58,37.10976,56.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,50165,78835,9/3/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/30/2017,9/3/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.0812957,0,43,55,37.76586,55.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,50166,78836,9/4/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/30/2017,9/3/2017,Ipsos,B+,1734,a,0.1617354,0,38.2,58.6,38.46972,57.28869,,T,http://polling.reuters.com/#poll/CP3_2/,50172,78842,9/5/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/1/2017,9/3/2017,Gallup,B,1500,a,0.1470236,0,38,56,39.10976,54.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,50167,78837,9/4/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/31/2017,9/4/2017,Ipsos,B+,1746,a,0.1637719,0,39.1,57.5,39.36972,56.18869,,T,http://polling.reuters.com/#poll/CP3_2/,50171,78841,9/5/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/31/2017,9/3/2017,Morning Consult,B-,1993,rv,0.7023253,0,43,52,39.57074,54.47749,,,http://www.politico.com/f/?id=0000015e-5364-db52-a75e-d77ddd140001,50170,78840,9/5/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/31/2017,9/4/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.2425136,0,44,54,38.76586,54.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,50168,78838,9/5/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/2/2017,9/4/2017,Gallup,B,1500,a,0.1470236,0,37,56,38.10976,54.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,50169,78839,9/5/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,8/31/2017,9/6/2017,icitizen,,2806,a,0.7959146,0,41,59,42.703,53.05598,,,https://projects.fivethirtyeight.com.s3.amazonaws.com/polls/2018_icitizen_national.pdf,50961,80602,2/28/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/1/2017,9/5/2017,Ipsos,B+,1674,a,0.1578737,0,39.7,56.4,39.96972,55.08869,,T,http://polling.reuters.com/#poll/CP3_2/,50185,78862,9/8/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/1/2017,9/7/2017,SurveyMonkey,D-,12032,a,0.2337045,0,40,57,37.84014,55.53904,,,https://drive.google.com/file/d/0BztOs71zt1WpTjlCamRNNXRrUzQ/view,50187,78867,9/8/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/3/2017,9/5/2017,Gallup,B,1500,a,0.1470236,0,37,56,38.10976,54.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,50177,78853,9/6/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/3/2017,9/5/2017,YouGov,B,1500,a,0.8251819,0,41,52,41.82018,54.45123,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/yxup54e0o1/econTabReport.pdf,50176,78850,9/6/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/2/2017,9/6/2017,Ipsos,B+,1686,a,0.159757,0,41,54.7,41.26972,53.38869,,T,http://polling.reuters.com/#poll/CP3_2/,50184,78861,9/8/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/3/2017,9/5/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.1346041,0,45,53,39.76586,53.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,50175,78849,9/6/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/4/2017,9/6/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.1351094,0,45,54,39.76586,54.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,50178,78855,9/7/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/4/2017,9/6/2017,Gallup,B,1500,a,0.1470236,0,36,57,37.10976,55.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,50180,78857,9/7/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/3/2017,9/7/2017,Ipsos,B+,1658,a,0.1578042,0,40.9,54.8,41.16972,53.48869,,T,http://polling.reuters.com/#poll/CP3_2/,50183,78860,9/8/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/4/2017,9/8/2017,Ipsos,B+,1723,a,0.1647361,0,39.6,55.8,39.86972,54.48869,,T,http://polling.reuters.com/#poll/CP3_2/,50197,78878,9/12/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/5/2017,9/7/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.1353645,0,46,53,40.76586,53.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,50182,78859,9/8/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/5/2017,9/7/2017,Gallup,B,1500,a,0.1470236,0,36,57,37.10976,55.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,50186,78866,9/8/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/6/2017,9/8/2017,Gallup,B,1500,a,0.1470236,0,38,56,39.10976,54.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,50188,78869,9/9/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/5/2017,9/9/2017,Ipsos,B+,1696,a,0.1627797,0,38.7,55.5,38.96972,54.18869,,T,http://polling.reuters.com/#poll/CP3_2/,50196,78877,9/12/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/6/2017,9/10/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.0812957,0,44,55,38.76586,55.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,50190,78871,9/11/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/7/2017,9/9/2017,Zogby Interactive/JZ Analytics,C,834,lv,0.8837411,0,43,53,40.88889,54.23625,,,https://www.zogbyanalytics.com/news/795-the-zogby-poll-trump-wins-back-base-makes-gains-among-younger-voters,50202,78890,9/14/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/6/2017,9/10/2017,Ipsos,B+,1673,a,0.1610384,0,36.7,56.9,36.96972,55.58869,,T,http://polling.reuters.com/#poll/CP3_2/,50195,78876,9/12/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/7/2017,9/9/2017,Gallup,B,1500,a,0.1470236,0,38,56,39.10976,54.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,50189,78870,9/10/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/7/2017,9/11/2017,icitizen,,1933,a,0.5818825,0,43,56,44.703,50.05598,,,https://projects.fivethirtyeight.com.s3.amazonaws.com/polls/2018_icitizen_national.pdf,50960,80601,2/28/2018,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/7/2017,9/11/2017,Morning Consult,B-,1976,rv,0.5921649,0,42,50,38.57074,52.47749,,,http://www.politico.com/f/?id=0000015e-784f-dad5-a77f-7cef00960000,50198,78883,9/13/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/8/2017,9/10/2017,Gallup,B,1500,a,0.1470236,0,38,57,39.10976,55.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,50191,78872,9/11/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/7/2017,9/11/2017,Ipsos,B+,1679,a,0.1620196,0,35.3,58.1,35.56972,56.78869,,T,http://polling.reuters.com/#poll/CP3_2/,50194,78875,9/12/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/7/2017,9/11/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.2425136,0,44,54,38.76586,54.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,50192,78873,9/12/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/8/2017,9/12/2017,Ipsos,B+,1671,a,0.1614902,0,34.7,58.6,34.96972,57.28869,,T,http://polling.reuters.com/#poll/CP3_2/,50210,78899,9/15/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/9/2017,9/11/2017,Gallup,B,1500,a,0.1470236,0,37,58,38.10976,56.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,50193,78874,9/12/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/10/2017,9/12/2017,YouGov,B,1500,a,0.7755616,0,39,52,39.82018,54.45123,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/xec10tysqv/trackingreport.pdf,50200,78886,9/13/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/10/2017,9/12/2017,Gallup,B,1500,a,0.1470236,0,37,57,38.10976,55.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,50201,78888,9/13/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/9/2017,9/13/2017,Ipsos,B+,1703,a,0.1645849,0,35.3,58.3,35.56972,56.98869,,T,http://polling.reuters.com/#poll/CP3_2/,50209,78898,9/15/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/8/2017,9/14/2017,SurveyMonkey,D-,16343,a,0.3251307,0,43,55,40.84014,53.53904,,,https://drive.google.com/file/d/0BztOs71zt1WpaWZ3d0J4Qno1T2c/view,50207,78895,9/15/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/10/2017,9/12/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.1346041,0,42,56,36.76586,56.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,50199,78885,9/13/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/10/2017,9/14/2017,Ipsos,B+,1699,a,0.1641619,0,36.8,57.5,37.06972,56.18869,,T,http://polling.reuters.com/#poll/CP3_2/,50208,78897,9/15/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/11/2017,9/13/2017,Gallup,B,1500,a,0.1470236,0,37,56,38.10976,54.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,50204,78892,9/14/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/11/2017,9/12/2017,Lucid,B-,1592,a,1.016336,0,34.5,50.65,36.18028,53.273,,,https://luc.id/wp-content/uploads/2017/09/Lucid-Political-Tracker-Cross-Tabs-92F11-2.pdf,50308,79043,10/10/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/11/2017,9/13/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.1351094,0,44,54,38.76586,54.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,50203,78891,9/14/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/11/2017,9/13/2017,Marist College,A,1224,a,2.123341,0,39,50,40.00963,51.01273,,,http://maristpoll.marist.edu/wp-content/misc/usapolls/us170910_Third%20Rail/Marist%20Poll%20National%20Nature%20of%20the%20Sample%20and%20Tables_September%202017.pdf#page=3,50211,78903,9/15/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/11/2017,9/15/2017,Ipsos,B+,1615,a,0.1560107,0,38.4,56.3,38.66972,54.98869,,T,http://polling.reuters.com/#poll/CP3_2/,50224,78922,9/19/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/12/2017,9/14/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.1353645,0,43,55,37.76586,55.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,50205,78893,9/15/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/12/2017,9/14/2017,YouGov,B,1000,a,0.5212384,0,40,51,40.82018,53.45123,,,http://big.assets.huffingtonpost.com/tabsHPImmigration20170912.pdf,50218,78911,9/18/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/10/2017,9/16/2017,Saint Leo University,C-,1000,a,0.8291479,0,42.8,53.2,41.71034,53.171,,,http://polls.saintleo.edu/fewer-than-half-of-americans-approve-of-trumps-job-performance-in-new-saint-leo-university-poll-florida-residents-concur-2/,50290,79021,10/5/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/12/2017,9/14/2017,Gallup,B,1500,a,0.1470236,0,37,57,38.10976,55.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,50206,78894,9/15/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/12/2017,9/14/2017,Morning Consult,B-,2094,a,0.607309,0,41,51,37.57074,53.47749,,,https://morningconsult.com/wp-content/uploads/2017/09/MC_BGBF-Crosstabs.pdf,50214,78907,9/17/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/13/2017,9/15/2017,Gallup,B,1500,a,0.1470236,0,36,59,37.10976,57.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,50212,78905,9/16/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/12/2017,9/16/2017,Ipsos,B+,1610,a,0.1549674,0,39.5,54.9,39.76972,53.58869,,T,http://polling.reuters.com/#poll/CP3_2/,50223,78921,9/19/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/14/2017,9/16/2017,Gallup,B,1500,a,0.1470236,0,38,57,39.10976,55.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,50215,78908,9/17/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,9/13/2017,9/17/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.0812957,0,44,55,38.76586,55.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,50216,78909,9/18/2017,15:18:36  3 Jul 2018,,
